# MC68020UM.pdf section 8.2.6, MOVE instruction, 506 cells
source,destination,best,cache,worst
"([d32,b],i)","(b)",23,24,28
"([d32,b],i)","(d16,an)",18,21,27
"([d32,b],i)","(d16,an,xn)",22,25,30
"([d32,b],i)","(d16,b)",23,26,32
"([d32,b],i)","(d32,b)",27,30,37
"([d32,b],i)","(d8,an,xn)",20,23,27
"([d32,b],i)","(xxx).l",20,23,29
"([d32,b],i)","(xxx).w",18,21,27
"([d32,b],i)","-(an)",18,21,25
"([d32,b],i)","an",15,20,23
"([d32,b],i)","dn",15,20,23
"([d32,b],i,d16)","([b],i)",27,30,30
"([d32,b],i,d16)","([b],i,d16)",29,32,37
"([d32,b],i,d16)","([b],i,d32)",30,33,40
"([d32,b],i,d16)","([d16,b],i)",29,32,37
"([d32,b],i,d16)","([d16,b],i,d16)",31,34,40
"([d32,b],i,d16)","([d16,b],i,d32)",32,35,43
"([d32,b],i,d16)","([d32,b],i)",33,36,44
"([d32,b],i,d16)","([d32,b],i,d16)",35,38,45
"([d32,b],i,d16)","([d32,b],i,d32)",36,39,47
"([d32,b],i,d16)","(an)",20,23,27
"([d32,b],i,d16)","(an)+",20,23,27
"([d32,b],i,d16)","(b)",25,26,30
"([d32,b],i,d16)","(d16,an)",20,23,29
"([d32,b],i,d16)","(d16,an,xn)",24,27,32
"([d32,b],i,d16)","(d16,b)",25,28,34
"([d32,b],i,d16)","(d32,b)",29,32,39
"([d32,b],i,d16)","(d8,an,xn)",22,25,29
"([d32,b],i,d16)","(xxx).l",22,25,31
"([d32,b],i,d16)","(xxx).w",20,23,29
"([d32,b],i,d16)","-(an)",20,23,27
"([d32,b],i,d16)","an",17,22,25
"([d32,b],i,d16)","dn",17,22,25
"([d32,b],i,d32)","([b],i)",27,30,32
"([d32,b],i,d32)","([b],i,d16)",29,32,39
"([d32,b],i,d32)","([b],i,d32)",30,33,42
"([d32,b],i,d32)","([d16,b],i)",29,32,39
